URL,SHA,Module,Test_Name,Status,Github_link,ISSRE_Category,P-values,%_Failing_TCOs,TSO_fail_rate,ISO_fail_rate,TSO_num_runs,TSO_num_pass,ISO_num_runs,ISO_num_pass,TSO_Runs,TSO_Fails,Categories_from_other_papers
https://github.com/c2mon/c2mon,d80687b119c713dd177a58cf53a997d8cc5ca264,./c2mon-server/c2mon-server-common,cern.c2mon.server.common.republisher.RepublisherImplTest.testMultipleExceptions,Inspected,,NDO?,1,100.0,0.4,1.03,4000,3984,4000,3959,(2900;1100),(12;4),NDOD;OD-Vic;NOD
https://github.com/javadelight/delight-nashorn-sandbox,da35edc0a75424bad8cbf60959fae253202154c4,.,delight.nashornsandbox.TestIssue34.testIssue34_Scenario1,Inspected,,NDOD,1,4.8,0.03,0,4000,3999,4000,4000,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test.runNoCloseBlockingTestScenario6,,,,1,4.8,0.03,0,4000,3999,4000,4000,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.misc.OpeningHandshakeRejectionTest.testHandshakeRejectionTestCase0,,,,1,4.8,0.03,0.03,4000,3999,4000,3999,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD;NOD
https://github.com/davidmoten/rxjava2-extras,d0315b6ecb0d24437ec0d440b6d768e89247d56c,.,com.github.davidmoten.rx2.buffertofile.FlowableOnBackpressureBufferToFileTest.testCancelObservable,,,,0.9999999,4.8,0.05,0,4000,3998,4000,4000,(100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD;OD-Vic
https://github.com/kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.WaiterTest.should_wait_until_woken,Inspected,,NDO?,0.9999999,4.8,0.05,0,4000,3998,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100),(0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0),NDOD;NOD
https://github.com/kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.SchedulerClientTest.client_should_be_able_to_fetch_executions_for_task,,,,0.9579431,9.5,0.1,0,4000,3996,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100),(0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0),NDOD;OD-Vic
https://github.com/kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.SchedulerClientTest.client_should_be_able_to_schedule_executions,,,,0.9579431,9.5,0.1,0,4000,3996,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100),(0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0),NDOD;OD-Vic
https://github.com/kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.SchedulerClientTest.should_be_able_to_schedule_other_executions_from_an_executionhandler,,,,0.9579431,9.5,0.1,0,4000,3996,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100),(0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0),NDOD;OD-Vic
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.misc.OpeningHandshakeRejectionTest.testHandshakeRejectionTestCase11,,,,0.9579431,9.5,0.1,0,4000,3996,4000,4000,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD;NOD
https://github.com/looly/hutool,91565d052d2771dd26547e79c619ee8c31497e8f,./hutool-cron,cn.hutool.cron.test.CronTest.matchAllTest,Inspected,,NDOD,0.9368731,50.0,0.05,1.53,4000,3998,4000,3939,(2900;1100),(2;0),NDOD;NOD
https://github.com/apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,./dubbo-remoting/dubbo-remoting-netty,org.apache.dubbo.remoting.transport.netty.ThreadNameTest.testThreadName,,,,0.880997,14.3,0.38,0.3,4000,3985,4000,3988,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100),(0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;0;0),NDOD
